dataset,controller,weight_mode,metric,default_profile,default_value,min_value,max_value,span,argmin_profile,argmax_profile
us101,pi,severity,saturation,default_composite,0.4606130344918582,0.4500800302194591,0.510436573139493,0.0603565429200338,heavy_composite,impact_only
us101,pi,severity,sat_gap_vs_star,default_composite,0.5137827563808433,0.4816524142982273,0.5266770046871124,0.045024590388885,ttc_only,heavy_composite
us101,pi_sd,severity,saturation,default_composite,0.9241971267368684,0.9211750404673866,0.9610432610370464,0.0398682205696598,heavy_composite,impact_only
us101,pi_sd,severity,sat_gap_vs_star,default_composite,0.050198664135833,0.0315661161838976,0.0555819944391848,0.0240158782552872,impact_only,heavy_composite
us101,pi_tuned,severity,saturation,default_composite,0.912148498939372,0.9077026993505984,0.951625297476711,0.0439225981261125,heavy_composite,impact_only
us101,pi_tuned,severity,sat_gap_vs_star,default_composite,0.0622472919333295,0.0393892133322684,0.069054335555973,0.0296651222237046,ttc_only,heavy_composite
us101,star,severity,saturation,default_composite,0.9743957908727016,0.9743957908727016,0.992609377220944,0.0182135863482426,default_composite,impact_only
us101,star,severity,sat_gap_vs_star,default_composite,0.0,0.0,0.0,0.0,default_composite,default_composite
i80,pi,severity,saturation,default_composite,0.4706277660996734,0.4679062291533085,0.5036228209392282,0.0357165917859196,heavy_composite,impact_only
i80,pi,severity,sat_gap_vs_star,default_composite,0.5003686704126253,0.4883214988587615,0.5038831055180519,0.0155616066592904,impact_only,heavy_composite
i80,pi_sd,severity,saturation,default_composite,0.91128902367563,0.9026376370411974,0.9563568349186264,0.053719197877429,heavy_composite,ttc_only
i80,pi_sd,severity,sat_gap_vs_star,default_composite,0.0597074128366688,0.0332270811272805,0.069151697630163,0.0359246165028824,ttc_only,heavy_composite
i80,pi_tuned,severity,saturation,default_composite,0.910867423562483,0.9080879513274974,0.9462883030442092,0.0382003517167118,heavy_composite,impact_only
i80,pi_tuned,severity,sat_gap_vs_star,default_composite,0.0601290129498157,0.0456560167537803,0.063701383343863,0.0180453665900826,impact_only,heavy_composite
i80,star,severity,saturation,default_composite,0.9709964365122988,0.9709964365122988,0.9919443197979896,0.0209478832856909,default_composite,impact_only
i80,star,severity,sat_gap_vs_star,default_composite,0.0,0.0,0.0,0.0,default_composite,default_composite
