direction,split,weight_mode,metric,controller,value
us101_to_i80,external_test,frequency,saturation,ablation_command_only,0.5358600929348711
us101_to_i80,external_test,frequency,saturation,ablation_relspeed_only,0.8148502798438216
us101_to_i80,external_test,frequency,saturation,ablation_trigger_only,0.6361288023872086
us101_to_i80,external_test,frequency,saturation,pi,0.4936088718656747
us101_to_i80,external_test,frequency,saturation,pi_sd,0.9610519752371618
us101_to_i80,external_test,frequency,saturation,pi_tuned,0.9459834617497288
us101_to_i80,external_test,frequency,saturation,pi_tuned_best,0.9402678187027714
us101_to_i80,external_test,frequency,saturation,star,0.9944921985183864
us101_to_i80,external_test,severity,saturation,ablation_command_only,0.5114526085431568
us101_to_i80,external_test,severity,saturation,ablation_relspeed_only,0.698427810227075
us101_to_i80,external_test,severity,saturation,ablation_trigger_only,0.6366392116508633
us101_to_i80,external_test,severity,saturation,pi,0.4706277660996734
us101_to_i80,external_test,severity,saturation,pi_sd,0.9112890236756302
us101_to_i80,external_test,severity,saturation,pi_tuned,0.9108674235624832
us101_to_i80,external_test,severity,saturation,pi_tuned_best,0.8721558829417244
us101_to_i80,external_test,severity,saturation,star,0.9709964365122988
i80_to_us101,external_test,frequency,saturation,ablation_command_only,0.5555673922564304
i80_to_us101,external_test,frequency,saturation,ablation_relspeed_only,0.7816247055620658
i80_to_us101,external_test,frequency,saturation,ablation_trigger_only,0.6811666252382136
i80_to_us101,external_test,frequency,saturation,pi,0.5097593598712168
i80_to_us101,external_test,frequency,saturation,pi_sd,0.962075210397358
i80_to_us101,external_test,frequency,saturation,pi_tuned,0.9545707420427778
i80_to_us101,external_test,frequency,saturation,pi_tuned_best,0.9254879679935608
i80_to_us101,external_test,frequency,saturation,star,0.9941881798705064
i80_to_us101,external_test,severity,saturation,ablation_command_only,0.5079230007971572
i80_to_us101,external_test,severity,saturation,ablation_relspeed_only,0.649770047006355
i80_to_us101,external_test,severity,saturation,ablation_trigger_only,0.6543966487300048
i80_to_us101,external_test,severity,saturation,pi,0.4606130344918582
i80_to_us101,external_test,severity,saturation,pi_sd,0.9241971267368686
i80_to_us101,external_test,severity,saturation,pi_tuned,0.912148498939372
i80_to_us101,external_test,severity,saturation,pi_tuned_best,0.8504125675575716
i80_to_us101,external_test,severity,saturation,star,0.9743957908727016
